"Age","Gender","Office","Practice","School","vertex.names","Years","id"
64,1,1,1,1,"V1",31,0
62,1,1,2,1,"V2",32,1
67,1,2,1,1,"V3",13,2
59,1,1,2,3,"V4",31,3
59,1,2,1,2,"V5",31,4
55,1,2,1,1,"V6",29,5
63,1,2,2,3,"V7",29,6
53,1,1,1,3,"V8",28,7
53,1,1,2,1,"V9",25,8
53,1,1,2,3,"V10",25,9
50,1,1,1,1,"V11",23,10
52,1,1,2,2,"V12",24,11
57,1,1,1,2,"V13",22,12
56,1,2,2,1,"V14",1,13
48,1,3,2,3,"V15",21,14
46,1,1,2,1,"V16",20,15
50,1,1,2,1,"V17",23,16
45,1,2,1,2,"V18",18,17
46,1,1,2,1,"V19",19,18
49,1,1,1,1,"V20",19,19
43,1,1,1,2,"V21",17,20
49,1,1,1,3,"V22",9,21
45,1,1,1,2,"V23",16,22
44,1,1,1,2,"V24",15,23
43,1,2,2,2,"V25",15,24
41,1,1,1,3,"V26",15,25
47,2,1,1,1,"V27",13,26
38,1,2,2,2,"V28",11,27
38,2,1,2,3,"V29",10,28
39,1,2,1,3,"V30",7,29
34,1,2,1,2,"V31",8,30
33,1,2,1,3,"V32",8,31
37,1,2,1,3,"V33",8,32
36,2,1,2,2,"V34",8,33
33,1,2,2,3,"V35",8,34
43,1,1,1,3,"V36",5,35
